dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,139.250000,0.000236,0.023601,1.180052,59.002607,0.000000
0.020000,0.000000,139.250000,0.000236,0.000000,-1.180052,-118.005215,0.000000
0.020000,0.000000,139.250000,0.000236,0.000000,0.000000,59.002607,0.000000
0.020000,0.000000,139.250000,0.000236,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,139.250000,0.000236,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,139.250000,0.000236,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,139.250000,0.000236,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,139.250000,0.000236,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,139.250000,0.000236,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,139.250000,0.000236,0.000000,0.000000,0.000000,0.000000
0.020000,0.019421,139.250000,0.019657,0.971064,48.553193,2427.659638,0.000000
0.020000,0.053407,139.250000,0.053643,1.699275,36.410562,-607.131552,0.000000
0.020000,0.093293,139.250000,0.093529,1.994288,14.750652,-1082.995494,0.000000
0.020000,0.139551,139.250000,0.139787,2.312902,15.930704,59.002607,0.000000
0.020000,0.192653,139.250000,0.192889,2.655117,17.110756,59.002607,0.000000
0.020000,0.253072,139.250000,0.253308,3.020933,18.290808,59.002607,0.000000
0.020000,0.321279,139.250000,0.321515,3.410351,19.470860,59.002607,0.000000
0.020000,0.397746,139.250000,0.397982,3.823369,20.650913,59.002607,0.000000
0.020000,0.482946,139.250000,0.483182,4.259988,21.830965,59.002607,0.000000
0.020000,0.577350,139.250000,0.577586,4.720209,23.011017,59.002607,0.000000
0.020000,0.681431,139.250000,0.681667,5.204030,24.191069,59.002607,0.000000
0.020000,0.795660,139.250000,0.795896,5.711452,25.371121,59.002607,0.000000
0.020000,0.920509,139.250000,0.920745,6.242476,26.551173,59.002607,0.000000
0.020000,1.056451,139.250000,1.056687,6.797100,27.731225,59.002607,0.000000
0.020000,1.203958,139.250000,1.204194,7.375326,28.911278,59.002607,0.000000
0.020000,1.363501,139.250000,1.363737,7.977153,30.091330,59.002607,0.000000
0.020000,1.535552,139.250000,1.535788,8.602580,31.271382,59.002607,0.000000
0.020000,1.720584,139.250000,1.720820,9.251609,32.451434,59.002607,0.000000
0.020000,1.919069,139.250000,1.919305,9.924239,33.631486,59.002607,0.000000
0.020000,2.131479,139.250000,2.131715,10.620469,34.811538,59.002607,0.000000
0.020000,2.358285,139.250000,2.358521,11.340301,35.991590,59.002607,0.000000
0.020000,2.599959,139.250000,2.600195,12.083734,37.171643,59.002607,0.000000
0.020000,2.856975,139.250000,2.857211,12.850768,38.351695,59.002607,0.000000
0.020000,3.129803,139.250000,3.130039,13.641403,39.531747,59.002607,0.000000
0.020000,3.418915,139.250000,3.419152,14.455639,40.711799,59.002607,0.000000
0.020000,3.724785,139.250000,3.725021,15.293476,41.891851,59.002607,0.000000
0.020000,4.047883,139.250000,4.048119,16.154914,43.071903,59.002607,0.000000
0.020000,4.388682,139.250000,4.388918,17.039953,44.251955,59.002607,0.000000
0.020000,4.747654,139.250000,4.747890,17.948593,45.432008,59.002607,0.000000
0.020000,5.125271,139.250000,5.125507,18.880834,46.612060,59.002607,0.000000
0.020000,5.522004,139.250000,5.522240,19.836677,47.792112,59.002607,0.000000
